index,year,roster_url,schedule_url,team_key
0,1977,https://www.basketball-reference.com/teams/ATL/1977.html,https://www.basketball-reference.com/teams/ATL/1977_games.html,ATLANTA HAWKS
1,1978,https://www.basketball-reference.com/teams/ATL/1978.html,https://www.basketball-reference.com/teams/ATL/1978_games.html,ATLANTA HAWKS
2,1979,https://www.basketball-reference.com/teams/ATL/1979.html,https://www.basketball-reference.com/teams/ATL/1979_games.html,ATLANTA HAWKS
3,1980,https://www.basketball-reference.com/teams/ATL/1980.html,https://www.basketball-reference.com/teams/ATL/1980_games.html,ATLANTA HAWKS
4,1981,https://www.basketball-reference.com/teams/ATL/1981.html,https://www.basketball-reference.com/teams/ATL/1981_games.html,ATLANTA HAWKS
5,1982,https://www.basketball-reference.com/teams/ATL/1982.html,https://www.basketball-reference.com/teams/ATL/1982_games.html,ATLANTA HAWKS
6,1983,https://www.basketball-reference.com/teams/ATL/1983.html,https://www.basketball-reference.com/teams/ATL/1983_games.html,ATLANTA HAWKS
7,1984,https://www.basketball-reference.com/teams/ATL/1984.html,https://www.basketball-reference.com/teams/ATL/1984_games.html,ATLANTA HAWKS
8,1985,https://www.basketball-reference.com/teams/ATL/1985.html,https://www.basketball-reference.com/teams/ATL/1985_games.html,ATLANTA HAWKS
9,1986,https://www.basketball-reference.com/teams/ATL/1986.html,https://www.basketball-reference.com/teams/ATL/1986_games.html,ATLANTA HAWKS
10,1987,https://www.basketball-reference.com/teams/ATL/1987.html,https://www.basketball-reference.com/teams/ATL/1987_games.html,ATLANTA HAWKS
11,1988,https://www.basketball-reference.com/teams/ATL/1988.html,https://www.basketball-reference.com/teams/ATL/1988_games.html,ATLANTA HAWKS
12,1989,https://www.basketball-reference.com/teams/ATL/1989.html,https://www.basketball-reference.com/teams/ATL/1989_games.html,ATLANTA HAWKS
13,1990,https://www.basketball-reference.com/teams/ATL/1990.html,https://www.basketball-reference.com/teams/ATL/1990_games.html,ATLANTA HAWKS
